date,year,month,month_name,quarter,week,day,day_of_week,day_name,is_weekend,year_month
2017-04-20,2017,4,April,2,16,20,3,Thursday,False,2017-04
2017-04-21,2017,4,April,2,16,21,4,Friday,False,2017-04
2017-04-22,2017,4,April,2,16,22,5,Saturday,True,2017-04
2017-04-23,2017,4,April,2,16,23,6,Sunday,True,2017-04
2017-04-24,2017,4,April,2,17,24,0,Monday,False,2017-04
2017-04-25,2017,4,April,2,17,25,1,Tuesday,False,2017-04
2017-04-26,2017,4,April,2,17,26,2,Wednesday,False,2017-04
2017-04-27,2017,4,April,2,17,27,3,Thursday,False,2017-04
2017-04-28,2017,4,April,2,17,28,4,Friday,False,2017-04
2017-04-29,2017,4,April,2,17,29,5,Saturday,True,2017-04
2017-04-30,2017,4,April,2,17,30,6,Sunday,True,2017-04
2017-05-01,2017,5,May,2,18,1,0,Monday,False,2017-05
2017-05-02,2017,5,May,2,18,2,1,Tuesday,False,2017-05
2017-05-03,2017,5,May,2,18,3,2,Wednesday,False,2017-05
2017-05-04,2017,5,May,2,18,4,3,Thursday,False,2017-05
2017-05-05,2017,5,May,2,18,5,4,Friday,False,2017-05
2017-05-06,2017,5,May,2,18,6,5,Saturday,True,2017-05
2017-05-07,2017,5,May,2,18,7,6,Sunday,True,2017-05
2017-05-08,2017,5,May,2,19,8,0,Monday,False,2017-05
2017-05-09,2017,5,May,2,19,9,1,Tuesday,False,2017-05
2017-05-10,2017,5,May,2,19,10,2,Wednesday,False,2017-05
2017-05-11,2017,5,May,2,19,11,3,Thursday,False,2017-05
2017-05-12,2017,5,May,2,19,12,4,Friday,False,2017-05
2017-05-13,2017,5,May,2,19,13,5,Saturday,True,2017-05
2017-05-14,2017,5,May,2,19,14,6,Sunday,True,2017-05
2017-05-15,2017,5,May,2,20,15,0,Monday,False,2017-05
2017-05-16,2017,5,May,2,20,16,1,Tuesday,False,2017-05
2017-05-17,2017,5,May,2,20,17,2,Wednesday,False,2017-05
2017-05-18,2017,5,May,2,20,18,3,Thursday,False,2017-05
2017-05-19,2017,5,May,2,20,19,4,Friday,False,2017-05
2017-05-20,2017,5,May,2,20,20,5,Saturday,True,2017-05
2017-05-21,2017,5,May,2,20,21,6,Sunday,True,2017-05
2017-05-22,2017,5,May,2,21,22,0,Monday,False,2017-05
2017-05-23,2017,5,May,2,21,23,1,Tuesday,False,2017-05
2017-05-24,2017,5,May,2,21,24,2,Wednesday,False,2017-05
2017-05-25,2017,5,May,2,21,25,3,Thursday,False,2017-05
2017-05-26,2017,5,May,2,21,26,4,Friday,False,2017-05
